INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('39248', '김지훈', '950101-1234567', '대학교 졸업 (컴퓨터 비전)', '부장', '103', '2');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('50328', '박수진', '880215-2345678', '대학교 졸업 (데이터 과학)', '부장', '103', '2');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('23654', '이준영', '910327-3456789', '석사 졸업 (인공지능)', '부장', '103', '2');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('41379', '최예은', '840430-4567890', '석사 졸업 (빅데이터)', '부장', '103', '2');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('47851', '정태우', '770512-5678901', '대학교 졸업 (컴퓨터 비전)', '부장', '103', '2');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('52136', '강서연', '990623-6789012', '대학교 졸업 (정보과학)', '사원', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('15382', '황동욱', '890706-7890123', '대학교 졸업 (정보과학)', '사원', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('46985', '송서진', '920819-8901234', '석사 졸업 (머신러닝)', '대리', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('28764', '장민석', '810922-9012345', '고등학교 졸업', '사원', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('52417', '한가을', '931003-0123456', '고등학교 졸업', '사원', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('34127', '조성민', '761116-1234567', '석사 졸업 (클라우드 컴퓨팅)', '대리', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('48532', '신지혜', '980217-2345678', '석사 졸업 (사이버 보안)', '대리', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('50974', '윤승현', '870331-3456789', '대학교 졸업 (로봇 공학)', '대리', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('25684', '김하늘', '800414-4567890', '대학교 졸업 (데이터 과학)', '사원', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('42761', '정재호', '940525-5678901', '대학교 졸업 (네트워크 엔지니어링)', '사원', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('51834', '박가온', '750608-6789012', '고등학교 졸업', '사원', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('14657', '강동우', '970719-7890123', '대학교 졸업 (소프트웨어 엔지니어링)', '대리', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('38516', '최현서', '900801-8901234', '고등학교 졸업', '사원', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('46785', '이승준', '811004-9012345', '석사 졸업 (소프트웨어공학)', '대리', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('15947', '김유빈', '951115-0123456', '석사 졸업 (게임 개발)', '사원', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('49215', '손정우', '881229-1234567', '고등학교 졸업', '차장', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('34681', '정아름', '911011-2345678', '석사 졸업 (클라우드 컴퓨팅)', '대리', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('51247', '나지윤', '841124-3456789', '대학교 졸업 (소프트웨어 엔지니어링)', '사원', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('42981', '임준혁', '770207-4567890', '고등학교 졸업', '대리', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('56321', '박주원', '000320-5678901', '석사 졸업 (데이터 과학)', '과장', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('18754', '황소미', '990421-6789012', '대학교 졸업 (시스템 분석)', '사원', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('43276', '김태영', '890504-7890123', '대학교 졸업 (컴퓨터 비전)', '사원', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('51689', '유하린', '920617-8901234', '석사 졸업 (소프트웨어 아키텍처)', '대리', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('36571', '신정민', '810730-9012345', '석사 졸업 (사이버 보안)', '사원', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('49728', '조민우', '931011-0123456', '석사 졸업 (머신러닝)', '차장', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('53842', '이주연', '761124-1234567', '고등학교 졸업', '사원', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('47126', '정태호', '980325-2345678', '고등학교 졸업', '사원', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('21573', '강수빈', '870508-3456789', '고등학교 졸업', '사원', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('53621', '김건우', '800621-4567890', '고등학교 졸업', '과장', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('27135', '박채원', '940704-5678901', '석사 졸업 (빅데이터)', '대리', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('49832', '최정민', '750817-6789012', '대학교 졸업 (데이터 과학)', '사원', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('34768', '홍승현', '970928-7890123', '석사 졸업 (게임 개발)', '차장', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('51293', '한수빈', '901011-8901234', '고등학교 졸업', '사원', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('23961', '임재현', '811114-9012345', '대학교 졸업 (정보과학)', '사원', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('46587', '김다솔', '951225-0123456', '고등학교 졸업', '대리', '103', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('52147', '송승민', '890308-1234567', '고등학교 졸업', '사원', '103', '1');
