INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('53642', '정민우', '761223-1234567', '석사 졸업 (전자공학)', '경영진', '101', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('49173', '신유진', '980527-2345678', '고등학교 졸업', '경영진', '101', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('21486', '이유빈', '870720-3456789', '대학교 졸업 (컴퓨터공학)', '경영진', '101', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('53472', '박준혁', '800813-4567890', '고등학교 졸업', '과장', '104', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('46732', '손지윤', '950916-5678901', '대학교 졸업 (경영학)', '사원', '102', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('52198', '김재원', '751019-6789012', '대학교 졸업 (사회학)', '부장', '101', '2');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('37645', '최수민', '971230-7890123', '대학교 졸업 (물리학)', '사원', '104', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('51432', '강하늘', '910312-8901234', '고등학교 졸업', '과장', '104', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('25693', '정서영', '811405-9012345', '석사 졸업 (예술학)', '대리', '102', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('51374', '신재현', '960207-0123456', '석사 졸업 (의학)', '대리', '104', '1');
INSERT INTO 직원 (직원번호, 직원명, 주민등록번호, 최종학력, 직위, 소속부서, 정보 권한 등급) VALUES ('42935', '윤가온', '890520-1234567', '석사 졸업 (전자공학)', '사원', '101', '1');
